"","instance","nodes","edges","nbest","nend","components","strength","plength","npaths"
"1","10_stn",2933,5726,0,1,1,NA,NA,0
"2","20_stn",3838,6335,1,1,1,19.7,11.5,2
"3","50_stn",3588,5572,0,1,1,NA,NA,0
