"","instance","nodes","edges","nbest","nend","components","strength","plength","npaths"
"1","10_stn",3051,5912,0,1,1,NA,NA,0
"2","20_stn",3662,5962,0,1,1,NA,NA,0
"3","50_stn",3621,5620,1,1,1,16.6,28,6
