Run Fitness1 Solution1 Fitness2 Solution2
1 423041000000.0 031000002012009006 6981.92 031000002012016006
1 6981.92 031000002012016006 18.0092 017004001021016004
1 18.0092 017004001021016004 6981.65 015000000004021012
1 6981.65 015000000004021012 3568.24 020000000004021012
1 3568.24 020000000004021012 18.0092 017004001021016004
1 18.0092 017004001021016004 112.791 019001000012007018
1 112.791 019001000012007018 11.1373 019001000012019018
1 11.1373 019001000012019018 18.0092 017004001021016004
1 18.0092 017004001021016004 10217900.0 022001000012007008
1 10217900.0 022001000012007008 120360.0 022001000012007007
1 120360.0 022001000012007007 11.1373 019001000012019018
1 11.1373 019001000012019018 99.0232 004004000010019018
1 99.0232 004004000010019018 90.0832 009004000010019018
1 90.0832 009004000010019018 11.1373 019001000012019018
1 11.1373 019001000012019018 277411.0 009003002014012000
1 277411.0 009003002014012000 239579.0 009003000014012000
1 239579.0 009003000014012000 11.1373 019001000012019018
1 11.1373 019001000012019018 3318.53 019004000014008012
1 3318.53 019004000014008012 16.4502 019004001014008012
1 16.4502 019004001014008012 11.1373 019001000012019018
1 11.1373 019001000012019018 802871.0 022004000001019018
1 802871.0 022004000001019018 115571.0 022004000024019018
1 115571.0 022004000024019018 11.1373 019001000012019018
1 11.1373 019001000012019018 45377.5 020006000021013012
1 45377.5 020006000021013012 4197.63 020006000021001012
1 4197.63 020006000021001012 11.1373 019001000012019018
1 11.1373 019001000012019018 7907.6 019001000010019004
1 7907.6 019001000010019004 337.17 019001000010019013
1 337.17 019001000010019013 11.1373 019001000012019018
1 11.1373 019001000012019018 124.111 004001000003018005
1 124.111 004001000003018005 89.62 004001000024018005
1 89.62 004001000024018005 11.1373 019001000012019018
1 11.1373 019001000012019018 886.5 010002002010007018
1 886.5 010002002010007018 786.73 001002002010007018
1 786.73 001002002010007018 11.1373 019001000012019018
1 11.1373 019001000012019018 80.2609 004000000008018006
1 80.2609 004000000008018006 27.4223 004000001008018006
1 27.4223 004000001008018006 11.1373 019001000012019018
1 11.1373 019001000012019018 442.847 022004002009007006
1 442.847 022004002009007006 109.448 022004002009006006
1 109.448 022004002009006006 11.1373 019001000012019018
1 11.1373 019001000012019018 88.1034 001001000012019018
1 88.1034 001001000012019018 65.5945 005001000012019018
1 65.5945 005001000012019018 11.1373 019001000012019018
1 11.1373 019001000012019018 3873.1532 022004001008018018
1 3873.1532 022004001008018018 3873.1532 022004001008018018
1 3873.1532 022004001008018018 11.1373 019001000012019018
1 11.1373 019001000012019018 705.964 004004000012019018
1 705.964 004004000012019018 106.714 004004000015019018
1 106.714 004004000015019018 3873.1532 022004001008018018
1 3873.1532 022004001008018018 193761.0 019004001008007005
1 193761.0 019004001008007005 8205.88 019004001011007005
1 8205.88 019004001011007005 3873.1532 022004001008018018
1 3873.1532 022004001008018018 38771.295000000006 010000002012018018
