"","instance","nodes","edges","nbest","nend","components","strength","plength","npaths"
"1","10_stn",3200,6137,0,1,1,NA,NA,0
"2","20_stn",3943,6370,0,1,1,NA,NA,0
"3","50_stn",3595,5555,1,1,1,10.4,26.6667,6
